process name,variable name,mean value,unit
Access Network,I_Acc,0.019593500677624647,joule / megabit
Access Network,carbon,3051027.4033405767,kilogram
Access Network,carbon_intensity,182.8146800979759,gram / kilowatt_hour
Access Network,datavolume_Tx_CDN,5.382065255055226e+19,baud * minute
Access Network,energy,16254321.31068494,kilowatt_hour
Content Delivery Network,I_Store,0.6580419222705292,joule / terabit
Content Delivery Network,I_Tx,12.327934353646963,joule / gigabit
Content Delivery Network,cachemiss_rate,0.29266594733766593,dimensionless
Content Delivery Network,carbon,3091208.929948315,kilogram
Content Delivery Network,carbon_intensity,182.8146800979759,gram / kilowatt_hour
Content Delivery Network,datavolume_Rx_CDN,1.8509430315047657e+19,baud * minute
Content Delivery Network,datavolume_Tx_CDN,5.382065255055226e+19,baud * minute
Content Delivery Network,energy,16471988.70754179,kilowatt_hour
Content Delivery Network,energy_CDN_Rx,2.5182061632347832e+20,baud * joule * minute / gigabit
Content Delivery Network,energy_CDN_Tx,7.364860690747046e+20,baud * joule * minute / gigabit
Content Delivery Network,energy_storage,1.2637054333593823e+19,baud * joule * minute / terabit
Core Network,I_Core,0.01884352944416407,joule / megabit
Core Network,carbon,3626170.547914457,kilogram
Core Network,carbon_intensity,182.8146800979759,gram / kilowatt_hour
Core Network,datavolume_Tx_CDN,5.382065255055226e+19,baud * minute
Core Network,energy,19321183.56963189,kilowatt_hour
Origin Datacentre,I_Store,0.6580419222705292,joule / terabit
Origin Datacentre,I_Tx,12.327934353646963,joule / gigabit
Origin Datacentre,carbon,787636.1238568695,kilogram
Origin Datacentre,carbon_intensity,182.8146800979759,gram / kilowatt_hour
Origin Datacentre,datavolume_Rx_CDN,1.8509430315047657e+19,baud * minute
Origin Datacentre,energy,4197220.8896303,kilowatt_hour
Origin Datacentre,energy_serving,2.5182061632347832e+20,baud * joule * minute / gigabit
Origin Datacentre,energy_storage,1.2637054333593823e+19,baud * joule * minute / terabit
TV,bitrate,10849579.898734273,baud
TV,carbon,2090786404.7383552,kilogram
TV,carbon_intensity,182.8146800979759,gram / kilowatt_hour
TV,daily_audience,2756920149381.5996,dimensionless
TV,datavolume_Tx_CDN,5.382065255055226e+19,baud * minute
TV,energy,11137669184.00445,kilowatt_hour
TV,energy_decoding,668260151040248.0,minute * watt
TV,power_decoding,166.95505615223598,watt
TV,viewing_time,4151887048946.5327,minute
