process name,variable name,mean value,unit
Access Network,I_Acc,0.019951848638459207,joule / megabit
Access Network,carbon,12.758698069254965,kilogram
Access Network,carbon_intensity,182.79160748515446,gram / kilowatt_hour
Access Network,datavolume_Tx_CDN,204703458334416.62,baud * minute
Access Network,energy,68.0105716737068,kilowatt_hour
Content Delivery Network,I_Store,0.6674167465033201,joule / terabit
Content Delivery Network,I_Tx,11.972454556293545,joule / gigabit
Content Delivery Network,cachemiss_rate,0.29962171095845747,dimensionless
Content Delivery Network,carbon,9.918203550659483,kilogram
Content Delivery Network,carbon_intensity,182.79160748515446,gram / kilowatt_hour
Content Delivery Network,datavolume_Rx_CDN,61282731734139.87,baud * minute
Content Delivery Network,datavolume_Tx_CDN,204703458334416.62,baud * minute
Content Delivery Network,energy,52.868721067101355,kilowatt_hour
Content Delivery Network,energy_CDN_Rx,731015193736735.9,baud * joule * minute / gigabit
Content Delivery Network,energy_CDN_Tx,2441067168600719.0,baud * joule * minute / gigabit
Content Delivery Network,energy_storage,40901688717738.23,baud * joule * minute / terabit
Core Network,I_Core,0.018783664098073492,joule / megabit
Core Network,carbon,11.995630746644364,kilogram
Core Network,carbon_intensity,182.79160748515446,gram / kilowatt_hour
Core Network,datavolume_Tx_CDN,204703458334416.62,baud * minute
Core Network,energy,63.94324491134214,kilowatt_hour
Origin Datacentre,I_Store,0.6674167465033201,joule / terabit
Origin Datacentre,I_Tx,11.972454556293545,joule / gigabit
Origin Datacentre,carbon,2.2857730436864467,kilogram
Origin Datacentre,carbon_intensity,182.79160748515446,gram / kilowatt_hour
Origin Datacentre,datavolume_Rx_CDN,61282731734139.87,baud * minute
Origin Datacentre,energy,12.18426825709107,kilowatt_hour
Origin Datacentre,energy_serving,731015193736735.9,baud * joule * minute / gigabit
Origin Datacentre,energy_storage,40901688717738.23,baud * joule * minute / terabit
TV,bitrate,5018585.701219304,baud
TV,carbon,12200.45179797496,kilogram
TV,carbon_intensity,182.79160748515446,gram / kilowatt_hour
TV,daily_audience,26971401.03492724,dimensionless
TV,datavolume_Tx_CDN,204703458334416.62,baud * minute
TV,energy,65034.82154894922,kilowatt_hour
TV,energy_decoding,3902089292.9369287,minute * watt
TV,power_decoding,95.79857370851313,watt
TV,viewing_time,40756806.39144216,minute
